,y_proba,y_test,Neg,Pos,TN,FP,FN,TP,FP/P,Prec,TP_1,FP_1,Prec_1,TP_10,FP_10,Prec_10,TP_20,FP_20,Prec_20,TP_50,FP_50,Prec_50,TP_100,FP_100,Prec_100,TP_200,FP_200,Prec_200,TP_500,FP_500,Prec_500,TP_1000,FP_1000,Prec_1000,TP_2000,FP_2000,Prec_2000,mProb,Pos_1,Neg_1,mProb_1,Pos_10,Neg_10,mProb_10,Pos_20,Neg_20,mProb_20,Pos_50,Neg_50,mProb_50,Pos_100,Neg_100,mProb_100,Pos_200,Neg_200,mProb_200,Pos_500,Neg_500,mProb_500,Pos_1000,Neg_1000,mProb_1000,Pos_2000,Neg_2000,mProb_2000
0,0.0,0,474,0,474,605136,0,107956,5.605394790470192,0.15139140531656503,107956.0,605136.0,0.15139140531656503,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,474.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0085,0,1,0,475,605135,0,107956,5.605385527437104,0.1513916176196306,107956.0,605135.0,0.1513916176196306,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2,0.01,7,796,7,1271,604339,7,107949,5.598012153099411,0.15155246192551328,107949.0,604339.0,0.15155246192551328,,,,,,,,,,,,,,,,,,,,,,,,,0.008717310087173101,7.0,796.0,0.008717310087173101,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0185,0,3,0,1274,604336,7,107949,5.5979843640001485,0.15155310023375473,107949.0,604336.0,0.15155310023375473,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
4,0.02,8,1025,8,2299,603311,15,107941,5.588489755085405,0.1517619634109992,107941.0,603311.0,0.1517619634109992,,,,,,,,,,,,,,,,,,,,,,,,,0.007744433688286544,8.0,1025.0,0.007744433688286544,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0265,0,3,0,2302,603308,15,107941,5.588461965986142,0.15176260353265875,107941.0,603308.0,0.15176260353265875,107945.6,603877.3,0.15164670875297775,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3.0,0.0,15.0,2312.0,0.006446067898581865,,,,,,,,,,,,,,,,,,,,,
6,0.0274,0,2,0,2304,603306,15,107941,5.588443439919968,0.15176303028343177,107941.0,603306.0,0.15176303028343177,107944.1,603693.4,0.1516841088335002,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.0,0.0,15.0,1839.0,0.008090614886731391,,,,,,,,,,,,,,,,,,,,,
7,0.0279,0,1,0,2305,603305,15,107941,5.58843417688688,0.1517632436597183,107941.0,603305.0,0.1517632436597183,107941.3,603354.2,0.15175310401935624,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,28.0,3392.0,0.008187134502923977,,,,,,,,,,,,,,,,,,,,,
8,0.0285,0,6,0,2311,603299,15,107941,5.5883785986883545,0.15176452393003767,107941.0,603299.0,0.15176452393003767,107939.2,603094.5,0.15180602550905817,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6.0,0.0,21.0,2597.0,0.008021390374331552,,,,,,,,,,,,,,,,,,,,,
9,0.0292,0,1,0,2312,603298,15,107941,5.588369335655267,0.1517647373105243,107941.0,603298.0,0.1517647373105243,107937.1,602834.7,0.15185900734947563,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,21.0,2598.0,0.008018327605956471,,,,,,,,,,,,,,,,,,,,,
